,endTime,artistName,trackName,msPlayed
2673,2024-03-15 03:22,Amaarae,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),190519
2674,2024-03-15 03:22,Bruno Mars,That's What I Like,719
2675,2024-03-15 03:26,Metro Boomin,Trance (with Travis Scott & Young Thug),283515
2676,2024-03-15 03:28,Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],82337
2677,2024-03-15 03:42,Metro Boomin,Too Many Nights (feat. Don Toliver & with Future),16114
2678,2024-03-15 14:27,Metro Boomin,Too Many Nights (feat. Don Toliver & with Future),29303
2679,2024-03-15 14:27,Shankar-Ehsaan-Loy,Tumhi Dekho Naa,3041
2680,2024-03-15 14:31,Gracie Abrams,"I miss you, I’m sorry",222981
2681,2024-03-15 14:36,Mitski,First Love/Late Spring,998
2682,2024-03-15 14:41,Atif Aslam,Piya O Re Piya,318645
2683,2024-03-15 14:43,Atif Aslam,Tere Liye,1764
2684,2024-03-15 14:43,Vishal Mishra,"Kaise Hua (From ""Kabir Singh"")",73888
2685,2024-03-15 14:47,Sonu Nigam,Tumse Milke Dil Ka,1323
2686,2024-03-15 14:47,Anand Raj Anand,Kiya Kiya,1625
2687,2024-03-15 14:47,Amit Trivedi,"Iktara (From ""Wake Up Sid"")",1114
2688,2024-03-15 14:47,Atif Aslam,Tera Hone Laga Hoon,1578
2689,2024-03-15 14:47,Roop Kumar Rathod,Maula Mere Maula,273252
2690,2024-03-15 14:47,Rashid Ali,Kabhi Kabhi Aditi,1114
2691,2024-03-15 14:49,KK,Such Keh Raha Hai,92763
2692,2024-03-15 14:49,Sukhwinder Singh,Woh Kisna Hai,1021
2693,2024-03-15 14:50,Darshan Raval,Asal Mein,3575
2694,2024-03-15 14:50,Sachin-Jigar,Apna Bana Le,3622
2695,2024-03-15 14:50,Anirudh Ravichander,Chaleya,1555
2696,2024-03-15 14:50,Shreya Ghoshal,"Manwa Laage (From ""Happy New Year"")",673
2697,2024-03-15 14:50,Atif Aslam,Dil Diyan Gallan,1300
2698,2024-03-15 14:50,Vishal-Shekhar,Khuda Jaane,1068
2699,2024-03-15 14:50,Mustafa Zahid,Bhula Dena,77159
2700,2024-03-15 14:51,Taylor Swift,"You're On Your Own, Kid",24427
2701,2024-03-15 14:53,Sabrina Carpenter,Feather,1184
2702,2024-03-15 14:53,Laufey,Bewitched,125039
2703,2024-03-15 14:53,Taylor Swift,this is me trying,3599
2704,2024-03-15 14:55,Mitski,Francis Forever,2020
2705,2024-03-15 14:55,Gracie Abrams,"I miss you, I’m sorry",109923
2706,2024-03-15 14:58,Olivia Rodrigo,the grudge,180140
2707,2024-03-15 15:01,Taylor Swift,illicit affairs,172477
2708,2024-03-15 15:04,Sabrina Carpenter,emails i can’t send,1857
2709,2024-03-15 15:04,Djo,End of Beginning,1277
2710,2024-03-15 15:04,Sarah Cothran,As the World Caves In,211719
2711,2024-03-15 15:04,Faye Webster,Right Side of My Neck,1184
2712,2024-03-15 15:08,Taylor Swift,"You're On Your Own, Kid",189869
2713,2024-03-15 15:08,Mitski,My Love Mine All Mine,1184
2714,2024-03-15 15:08,Stephen Sanchez,Until I Found You,1091
2715,2024-03-15 15:08,Sabrina Carpenter,Tornado Warnings,1068
2716,2024-03-15 15:16,Laufey,Goddess,360907
2717,2024-03-15 15:19,Olivia Rodrigo,making the bed,193282
2718,2024-03-15 15:19,beabadoobee,Glue Song,1068
2719,2024-03-15 15:25,Laufey,Promise,1834
2720,2024-03-15 15:25,Mitski,I Want You,116
2721,2024-03-15 15:25,Bon Iver,Beach Baby,1462
2722,2024-03-15 15:25,Katy Perry,The One That Got Away,1532
2723,2024-03-15 15:25,Taylor Swift,You’re Losing Me (From The Vault),274622
2724,2024-03-15 15:25,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",1927
2725,2024-03-15 15:25,Taylor Swift,exile (feat. Bon Iver),2020
2726,2024-03-15 15:25,Ricky Montgomery,Line Without a Hook,766
2727,2024-03-15 15:27,Mitski,First Love/Late Spring,82152
2728,2024-03-15 19:58,Bruno Mars,That's What I Like,5804
2729,2024-03-15 19:58,Khalid,Young Dumb & Broke,1180
2730,2024-03-15 19:58,Kesha,TiK ToK,2260
2731,2024-03-15 19:58,Tate McRae,greedy,1060
2732,2024-03-15 19:58,Justin Timberlake,Mirrors,484146
2733,2024-03-15 19:58,Britney Spears,Toxic,1360
2734,2024-03-15 19:58,Keane,Somewhere Only We Know,5620
2735,2024-03-15 19:58,Ariana Grande,Side To Side,1620
2736,2024-03-15 19:58,One Direction,Night Changes,1290
2737,2024-03-15 20:01,Maroon 5,Shiver,179773
2738,2024-03-15 20:03,The Strokes,Is This It,151333
2739,2024-03-15 20:07,The Growlers,Orgasm of Death,235692
2740,2024-03-16 03:51,Sabrina Carpenter,Feather,11015
2741,2024-03-16 03:51,Gracie Abrams,"I miss you, I’m sorry",278130
2742,2024-03-16 03:54,Elona,Want You,1625
2743,2024-03-16 03:57,Aliyah's Interlude,IT GIRL,6292
2744,2024-03-16 04:02,Laufey,Best Friend,258564
2745,2024-03-16 04:04,Steve Lacy,Some,975
2746,2024-03-16 04:04,Takayoshi,unconditionally,77419
2747,2024-03-16 04:04,Lyn Lapid,In My Mind,21408
2748,2024-03-16 04:04,Zeauxi,Spanish in Chinese,8157
2749,2024-03-16 04:04,beabadoobee,Glue Song,1393
2750,2024-03-16 04:07,Taylor Swift,Delicate,156757
2751,2024-03-16 04:10,Taylor Swift,Call It What You Want,202245
2752,2024-03-16 04:14,Taylor Swift,Gorgeous,221588
2753,2024-03-16 04:20,Taylor Swift,Look What You Made Me Do,332649
2754,2024-03-16 04:23,Taylor Swift,Delicate,170295
2755,2024-03-16 04:26,Olivia Rodrigo,all-american bitch,1044
