artistName,trackName,msPlayed
Arijit Singh,Qaafirana,9729
Arijit Singh,"Satranga (From ""ANIMAL"")",6617
Arijit Singh,"Sooraj Dooba Hain (From ""Roy"")",1973
Arijit Singh,Suno- Na Sangemarmar,200971
Arijit Singh,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",150080
Arijit Singh,"Tum Hi Ho (From ""Aashiqui 2"")",905
Arijit Singh,Ve Maahi,1416
Arijit Singh,Zaalima,284885
Arizona Zervas,ROXANNE,139
Armaan Malik,Bol Do Na Zara,186197
Armaan Malik,"Dil Mein Ho Tum (From ""Cheat India"")",3520
Armaan Malik,Jab Tak,11072
Armaan Malik,Kaun Tujhe (Armaan Malik Version),1834
Armaan Malik,Kuch To Hai,388586
Armaan Malik,Sau Aasmaan,1671
Armaan Malik,You,4565
Armani White,BILLIE EILISH.,14860
Artemas,i like the way you kiss me,33514
Artemas,if u think i'm pretty,36362
Asha Bhosle,"Sapne Mein (From ""Satya"")",831
Asha Bhosle,Zara Sa Jhoom Loon Main,3250
Ashe,Another Man's Jeans,20781
Ashe,Hope You're Not Happy,11586
Ashe,Moral of the Story,125975
Ashe,Moral of the Story (feat. Niall Horan) - Bonus Track,18182
Ashe,Till Forever Falls Apart,12823
Ashnikko,Slumber Party (feat. Princess Nokia),51477
Ashnikko,You Make Me Sick!,1114
Atif Aslam,"Aadat - From ""Kalyug""",2739
Atif Aslam,Dil Diyan Gallan,260536
Atif Aslam,Jeena Jeena,2252
Atif Aslam,Main Rang Sharbaton Ka,106672
Atif Aslam,Pehli Dafa,21440
Atif Aslam,Pehli Nazar Mein,366062
Atif Aslam,Piya O Re Piya,561984
Atif Aslam,Rafta Rafta,928
Atif Aslam,Tera Hone Laga Hoon,299827
Atif Aslam,Tere Liye,6965
Atif Aslam,Tu Jaane Na,202570
Atif Aslam,Woh Lamhe Woh Baatein,264475
Austin Farwell,High Above,4161
Austin Farwell,Once Upon a Time,14164
Ava Max,Sweet but Psycho,1416
Avril Lavigne,Complicated,7801
Avril Lavigne,Girlfriend,1277
Avril Lavigne,Head Above Water,271162
Avril Lavigne,Sk8er Boi,192702
Avril Lavigne,What the Hell,1253
Ayesha Erotica,Big Juicy,1230
Ayesha Erotica,Emo Boy,998
Ayushmann Khurrana,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")",7295
Azealia Banks,1991,29489
Azealia Banks,212,1002
Azealia Banks,Liquorice,8191
Azealia Banks,Luxury,290760
Azealia Banks,Paradiso,1194
Azealia Banks,The Big Big Beat,812
B.o.B,Nothing on You,975
BIBI,BIBI Vengeance,696
BLACKPINK,As If It's Your Last,347301
BLACKPINK,BOOMBAYAH,208143
BLACKPINK,Don't Know What To Do,214274
BLACKPINK,Forever Young,45557
BLACKPINK,How You Like That,213577
BLACKPINK,Lovesick Girls,743
BLACKPINK,PLAYING WITH FIRE,151914
BLACKPINK,Pink Venom,1184
BLACKPINK,STAY,201525
BLACKPINK,Shut Down,238120
BRADIO,Flyers,107322
BTS,Boy With Luv (feat. Halsey),10375
Baby Keem,16,1663
Baby Tate,"Hey, Mickey!",33227
Backstreet Boys,I Want It That Way,211765
Bad Bunny,Me Porto Bonito,417
Badshah,"Bad Boy (From ""Saaho"")",208
Badshah,Dj Waley Babu (feat. Aastha Gill),1462
Badshah,Jugnu,1207
Badshah,Kar Gayi Chull,190426
Badshah,Mercy,1021
Badshah,Paani Paani,1021
Badshah,Players,1625
Badshah,Proper Patola,835
Badshah,"Sajna, Say Yes To The Dress",1904
Badshah,Sanak,0
Badshah,"Tere Naal Nachna (From ""Nawabzaade"")",1450
Bakar,Hell N Back (feat. Summer Walker),195147
Bappi Lahiri,Ooh La La,650
Barbar60,Vampire - Speed Up,103328
Bastille,Pompeii,9798
Bea Miller,S.L.U.T.,49319
Bea and her Business,Born To Be Alive,12373
Beach Bunny,Cloud 9,151466
Beach Bunny,Cloud 9 (feat. Tegan and Sara),136394
Beach Bunny,Good Girls (Don’t Get Used),4238
Beach Bunny,Prom Queen,136562
Beach Bunny,Sports,8010
Beach House,Myth,3459
Beach House,Space Song,280311
Beach Weather,"Sex, Drugs, Etc.",1602
Becky G,MAMIII,14442
Bella Poarch,Build a Bitch,198122
Bella Poarch,Crush,8213
Ben E. King,Stand By Me,0
Benny Benassi,Satisfaction - Uk Radio Edit,1486
Benny Dayal,"Abcd -Yaariyan (From ""Yaariyan"")",81803
Benny Dayal,Bang Bang,224142
Benny Dayal,"Chura Ke Dil Mera - From ""Hungama 2""",534
Benny Dayal,Daaru Desi,157617
Benny Dayal,Lat Lag Gayee,194281
Benny Dayal,Locha-E-Ulfat,111153
Benny Dayal,Pappu Can't Dance,65210
Benson Boone,In The Stars,928
Benzz,Je M'appelle,1114
Benzz,Je M'appelle (feat. Tion Wayne & French Montana) - Remix,1578
Beyoncé,Crazy In Love (feat. Jay-Z),835
Beyoncé,TEXAS HOLD 'EM,1904
BigXthaPlug,Mmhmm,5154
Bilal Saeed,Lambiya Judaiyan,1486
Billianne,Simply The Best,32108
Billie Eilish,8,10286
Billie Eilish,BIRDS OF A FEATHER,3818
Billie Eilish,BLUE,110712
Billie Eilish,Billie Bossa Nova,1160
Billie Eilish,Bored,180933
Billie Eilish,CHIHIRO,303440
Billie Eilish,Getting Older,244221
Billie Eilish,Halley's Comet,1369
Billie Eilish,Happier Than Ever,274261
Billie Eilish,Happier Than Ever - Edit,148150
Billie Eilish,I Didn't Change My Number,3837
Billie Eilish,LUNCH,211259
Billie Eilish,L’AMOUR DE MA VIE,291689
Billie Eilish,Male Fantasy,1021
Billie Eilish,Six Feet Under,3669
Billie Eilish,THE GREATEST,112291
Billie Eilish,TV,343007
Billie Eilish,The 30th,603
Billie Eilish,Therefore I Am,743
Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",390378
Billie Eilish,all the good girls go to hell,192563
Billie Eilish,bad guy,464
Billie Eilish,bellyache,179172
Billie Eilish,bury a friend,193143
Billie Eilish,everything i wanted,316696
Billie Eilish,hotline (edit),86262
Billie Eilish,i love you,288270
Billie Eilish,idontwannabeyouanymore,203569
Billie Eilish,lovely (with Khalid),5642
Billie Eilish,my future,1857
Billie Eilish,my strange addiction,176425
Billie Eilish,ocean eyes,200379
Billie Eilish,watch,1625
Billie Eilish,when the party's over,204103
Billie Eilish,wish you were gay,221543
Billie Eilish,xanny,302486
Billy Joel,Vienna,3584
Billy Joel,Zanzibar,14246
Billy Talent,Devil on My Shoulder,1450
Black Eyed Peas,GIRL LIKE ME,1044
Black Eyed Peas,Pump It,257709
Black Moth Super Rainbow,Born On A Day The Sun Didn't Rise,13235
Blur,Beetlebum - 2012 Remaster,1160
Blur,Ghost Ship,299133
Blur,Girls & Boys,259386
Blur,Good Song,1173
Bo Burnham,1985,533
Bohemia,Same Beef,278
Bon Iver,Beach Baby,6580
Boney M.,Daddy Cool,8707
Bonnie Tyler,Total Eclipse of the Heart,164010
Brandy,The Boy Is Mine,998
Breaking Benjamin,The Diary Of Jane,145287
Brent Faiyaz,Clouded,1695
Brent Faiyaz,Forever Yours,1207
Brijesh Shandilya,Banno,174126
Britney Manson,FΛSHION,1091
Britney Spears,...Baby One More Time,5851
Britney Spears,Circus,1066
Britney Spears,Gimme More,73301
Britney Spears,Oops!...I Did It Again,1880
Britney Spears,Toxic,198800
Bruno Major,Nothing,1685
Bruno Major,Places We Won't Walk,789
Bruno Mars,24K Magic,153019
Bruno Mars,Grenade,1386
Bruno Mars,It Will Rain,938
Bruno Mars,Just the Way You Are,0
Bruno Mars,Leave The Door Open,1578
Bruno Mars,Locked out of Heaven,9791
Bruno Mars,Talking to the Moon,576
Bruno Mars,That's What I Like,202036
Bruno Mars,The Lazy Song,0
Bruno Mars,Treasure,0
Bruno Mars,When I Was Your Man,1068
Bryson Tiller,Don't,998
BØRNS,Electric Love,218106
CURSEDEVIL,TUCA DONKA,0
Cafuné,Tek It,57386
Cafuné,Tek It - Sped Up,24079
Cage The Elephant,Cigarette Daydreams,208760
Cage The Elephant,Cold Cold Cold,4388
Cage The Elephant,Come a Little Closer,67136
Cage The Elephant,Rainbow,743
Cage The Elephant,Social Cues,405
Cage The Elephant,Telescope,1663
Cage The Elephant,Trouble,2048
Calming Rain,1 Hour of Soft Rain to Reduce Stress,48947
Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",221773
Calvin Harris,How Deep Is Your Love,743
Calvin Harris,One Kiss (with Dua Lipa),78878
Calvin Harris,Slide (feat. Frank Ocean & Migos),1114
Calvin Harris,Summer,348
Calvin Harris,This Is What You Came For,78367
Camila Cabello,Shameless,8498
Cardi B,I Like It,1160
Cardi B,Please Me,1021
Cardi B,WAP (feat. Megan Thee Stallion),86239
Carlina,Lucky Girl,1346
Carly Rae Jepsen,Call Me Maybe,219214
Carly Rae Jepsen,I Really Like You,1184
Carly Rae Jepsen,Run Away With Me,196464
Carolina Gaitán - La Gaita,We Don't Talk About Bruno,1160
Carrie Underwood,Before He Cheats,810
Cass McCombs,Absentee,2282
Cassie,Long Way 2 Go,1671
Central Cee,Day in the Life,1021
Central Cee,Doja,1625
Chad Post,Cold Front,0
Chance Peña,In My Room,17877
Chance Peña,i am not who i was,1996
Chappell Roan,Casual,1407
Chappell Roan,"Good Luck, Babe!",379204
Chappell Roan,HOT TO GO!,4309
Chappell Roan,Red Wine Supernova,3060
Charli xcx,360,2763
Charli xcx,Apple,348
Charli xcx,Boom Clap,57167
Charli xcx,Speed Drive (From Barbie The Album),3924
Charli xcx,Von dutch,441
Charlie Puth,Attention,267734
Charlie Puth,Dangerously,895
Charlie Puth,How Long,510
Charlie Puth,That’s Not How This Works (feat. Dan + Shay & Sabrina Carpenter) - Sabrina’s Version,1927
Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),192000
Chase Atlantic,Consume (feat. Goon Des Garcons),1671
Chase Atlantic,Into It,1602
Chase Atlantic,Swim,835
Cheema Y,California Love,835
Chemicals,Telepatia (Sped Up),917
Chevy,I Know a Place,4527
Childish Gambino,Heartbeat,49983
Childish Gambino,Les,1509
Childish Gambino,Me and Your Mama,0
Childish Gambino,Redbone,58410
ChillMax B,Midnight,2832
Chris Brown,No Guidance (feat. Drake),789
Chris Brown,Under The Influence,188360
Chris Brown,With You,859
Christina Perri,a thousand years,2133
Cigarettes After Sex,Apocalypse,134208
Cigarettes After Sex,Baby Blue Movie,998
Cigarettes After Sex,Cry,2739
Cigarettes After Sex,K.,190876
Cigarettes After Sex,Sunsetz,60418
Cigarettes After Sex,Sweet,82454
Circa Survive,Get Out,0
Citizen,Sleep,10541
Cl4pers,Want Me,743
Claire Rosinkranz,Backyard Boy,11178
Clairo,2 Hold U,952
Clairo,4EVER,1671
Clairo,Amoeba,1068
Clairo,Bags,101517
