,endTime,artistName,trackName,msPlayed
347,2023-08-03 12:55,Taylor Swift,Lover,200960
348,2023-08-03 12:58,Olivia Rodrigo,vampire,127914
349,2023-08-03 13:01,Arctic Monkeys,I Wanna Be Yours,157568
350,2023-08-03 13:06,Coldplay,Fix You,284522
351,2023-08-03 13:09,Conan Gray,Astronomy,197994
352,2023-08-03 13:12,Linkin Park,Breaking the Habit,171486
353,2023-08-03 13:15,Linkin Park,In Pieces,176682
354,2023-08-03 13:19,Cults,Gilded Lily,149973
355,2023-08-03 13:21,Øneheart,snowfall (Sped Up),113237
356,2023-08-03 13:25,New West,Those Eyes,137962
357,2023-08-04 02:00,Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""",8618
358,2023-08-04 02:00,wendel,luxury - slowed + reverb,133888
359,2023-08-04 02:03,THE ANXIETY,Meet Me At Our Spot - Live,166741
360,2023-08-04 02:06,Stacey Ryan,Fall In Love Alone,194197
361,2023-08-04 02:09,Hentaidesu,I'm Fine,3080
362,2023-08-04 02:09,Coldplay,Magic,10048
363,2023-08-04 02:09,Laurindo Almeida,The Lamp Is Low,157444
364,2023-08-04 02:11,Gym Class Heroes,Stereo Hearts (feat. Adam Levine),126933
365,2023-08-04 02:11,Melanie Martinez,Play Date,3541
366,2023-08-04 02:16,Ed Sheeran,Bloodstream,267648
367,2023-08-04 02:18,BØRNS,Electric Love,131695
368,2023-08-04 02:19,Clinton Cerejo,Hey Ya !,89735
369,2023-08-04 02:23,Ryan Gosling,I'm Just Ken (From Barbie The Album),220010
370,2023-08-04 02:25,Ryan Gosling,"City Of Stars - From ""La La Land"" Soundtrack",140863
371,2023-08-04 02:28,Sabrina Carpenter,emails i can’t send,3514
372,2023-08-04 02:28,Sabrina Carpenter,things i wish you said,162748
373,2023-08-04 02:32,Lizzy McAlpine,ceilings,232149
374,2023-08-04 02:37,The Weeknd,Starboy,269695
375,2023-08-04 02:39,Isabel LaRosa,i'm yours sped up,115669
376,2023-08-04 02:44,The Fray,How to Save a Life,83392
377,2023-08-04 02:46,Stephen Sanchez,Until I Found You - Piano Version,132949
378,2023-08-04 02:50,The Strokes,"Call It Fate, Call It Karma",204773
379,2023-08-04 02:53,The Strokes,Selfless,76966
380,2023-08-04 02:57,Radiohead,Jigsaw Falling Into Place,168064
381,2023-08-04 03:01,Cage The Elephant,Cigarette Daydreams,187242
382,2023-08-04 03:02,Tame Impala,"New Person, Same Old Mistakes",42986
383,2023-08-04 03:03,Vansire,From the Subway Train,50453
384,2023-08-04 03:08,The Strokes,Is This It,151333
385,2023-08-04 09:45,Sea of Lettuce,Leave You Alone,65105
386,2023-08-04 09:49,Ryan Gosling,I'm Just Ken (From Barbie The Album),199466
387,2023-08-04 09:51,Justin Hurwitz,Armstrong Cabin,5653
388,2023-08-04 09:51,Nicola Piovani,Hungry Mina,16830
389,2023-08-04 09:51,Justin Hurwitz,Mia & Sebastian’s Theme,98040
390,2023-08-04 09:54,bôa,Duvet,197055
391,2023-08-04 09:54,Arctic Monkeys,I Wanna Be Yours,1386
392,2023-08-04 10:15,Coldplay,Sparks,427685
393,2023-08-04 10:30,Men I Trust,Show Me How,33706
394,2023-08-04 10:34,Conan Gray,Astronomy,196586
395,2023-08-04 10:34,Radiohead,No Surprises,0
396,2023-08-04 10:39,Aimer,Re:pray,307160
397,2023-08-04 10:43,Radiohead,No Surprises,223860
398,2023-08-04 10:46,Mitski,Nobody,154325
399,2023-08-04 10:46,Billie Eilish,Six Feet Under,3669
400,2023-08-04 10:49,Linkin Park,ROADS UNTRAVELED,180394
401,2023-08-04 10:49,Cults,Gilded Lily,2816
402,2023-08-04 10:49,Conan Gray,Memories,981
403,2023-08-04 10:54,Paramore,You First,1663
404,2023-08-04 10:54,New West,Those Eyes,268053
405,2023-08-04 10:59,Taylor Swift,cardigan,229248
406,2023-08-04 11:00,Øneheart,snowfall (Sped Up),92074
407,2023-08-04 11:03,Hayley Williams,Asystole,140330
408,2023-08-05 04:10,Lana Del Rey,Doin' Time,161877
409,2023-08-05 04:10,Santana,Maria Maria (feat. The Product G&B),4864
410,2023-08-05 04:14,Santana,Maria Maria (feat. The Product G&B) - sped up,201408
411,2023-08-05 04:15,Cochise,Tell Em,97365
412,2023-08-05 04:17,Isabel LaRosa,i'm yours sped up,80960
413,2023-08-05 04:20,Ryan Gosling,I'm Just Ken (From Barbie The Album),216469
414,2023-08-05 04:23,Ryan Gosling,"City Of Stars - From ""La La Land"" Soundtrack",146005
415,2023-08-05 04:25,Taylor Swift,champagne problems,164053
416,2023-08-05 04:29,grentperez,Cherry Wine,131861
417,2023-08-05 04:30,Lana Del Rey,West Coast,101909
418,2023-08-05 04:31,sped up 8282,Cupid – Twin Ver. (FIFTY FIFTY) – Sped Up Version,49663
419,2023-08-05 04:33,BLACKPINK,Shut Down,112490
420,2023-08-05 04:36,Julian Casablancas,"I'll Try Anything Once - Live From Electric Lady Studios for WRXP, New York",203666
421,2023-08-05 04:36,PinkPantheress,Boy's a liar Pt. 2,398
422,2023-08-05 04:41,Taylor Swift,Back To December,283263
423,2023-08-05 04:44,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,141760
424,2023-08-05 04:50,Stacey Ryan,Fall In Love Alone,348838
425,2023-08-05 04:50,Rex Orange County,Pluto Projector,1137
