artistName,trackName,msPlayed,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
The Voidz,Pink Ocean,326706,0.594,0.889,2.0,-3.701,1.0,0.0407,0.343,0.599,0.385,0.646,96.986,audio_features,4WFcerMZkAIcIizZYXNNrb,spotify:track:4WFcerMZkAIcIizZYXNNrb,https://api.spotify.com/v1/tracks/4WFcerMZkAIcIizZYXNNrb,https://api.spotify.com/v1/audio-analysis/4WFcerMZkAIcIizZYXNNrb,326707.0,4.0
The Walters,I Love You So,160239,0.575,0.648,10.0,-4.891,1.0,0.0358,0.583,0.0,0.115,0.466,75.977,audio_features,4SqWKzw0CbA05TGszDgMlc,spotify:track:4SqWKzw0CbA05TGszDgMlc,https://api.spotify.com/v1/tracks/4SqWKzw0CbA05TGszDgMlc,https://api.spotify.com/v1/audio-analysis/4SqWKzw0CbA05TGszDgMlc,160240.0,4.0
The Walters,Sweet Marie,10634,0.245,0.425,9.0,-8.379,1.0,0.0324,0.914,0.646,0.116,0.254,203.816,audio_features,7MBSbBrx0TvBYyKEcpGcJb,spotify:track:7MBSbBrx0TvBYyKEcpGcJb,https://api.spotify.com/v1/tracks/7MBSbBrx0TvBYyKEcpGcJb,https://api.spotify.com/v1/audio-analysis/7MBSbBrx0TvBYyKEcpGcJb,137092.0,4.0
The Weeknd,Blinding Lights,1741,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,audio_features,0VjIjW4GlUZAMYd2vXMi3b,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040.0,4.0
The Weeknd,Call Out My Name,276108,0.461,0.593,1.0,-4.954,1.0,0.0356,0.165,0.0,0.307,0.174,134.165,audio_features,09mEdoA6zrmBPgTEN5qXmN,spotify:track:09mEdoA6zrmBPgTEN5qXmN,https://api.spotify.com/v1/tracks/09mEdoA6zrmBPgTEN5qXmN,https://api.spotify.com/v1/audio-analysis/09mEdoA6zrmBPgTEN5qXmN,228373.0,3.0
The Weeknd,Can't Feel My Face,2662,0.705,0.769,9.0,-5.526,0.0,0.0425,0.113,0.0,0.105,0.583,107.949,audio_features,22VdIZQfgXJea34mQxlt81,spotify:track:22VdIZQfgXJea34mQxlt81,https://api.spotify.com/v1/tracks/22VdIZQfgXJea34mQxlt81,https://api.spotify.com/v1/audio-analysis/22VdIZQfgXJea34mQxlt81,213520.0,4.0
The Weeknd,Die For You,260253,0.586,0.525,1.0,-7.163,0.0,0.0615,0.111,0.0,0.134,0.508,133.629,audio_features,2LBqCSwhJGcFQeTHMVGwy3,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,https://api.spotify.com/v1/tracks/2LBqCSwhJGcFQeTHMVGwy3,https://api.spotify.com/v1/audio-analysis/2LBqCSwhJGcFQeTHMVGwy3,260253.0,4.0
The Weeknd,Die For You (with Ariana Grande) - Remix,2229,0.568,0.485,1.0,-7.635,0.0,0.0582,0.276,0.0,0.323,0.517,66.961,audio_features,4W4fNrZYkobj539TOWsLO2,spotify:track:4W4fNrZYkobj539TOWsLO2,https://api.spotify.com/v1/tracks/4W4fNrZYkobj539TOWsLO2,https://api.spotify.com/v1/audio-analysis/4W4fNrZYkobj539TOWsLO2,232857.0,4.0
The Weeknd,I Was Never There,26401,0.323,0.737,10.0,-4.008,1.0,0.0335,0.14,0.000162,0.163,0.156,112.923,audio_features,1cKHdTo9u0ZymJdPGSh6nq,spotify:track:1cKHdTo9u0ZymJdPGSh6nq,https://api.spotify.com/v1/tracks/1cKHdTo9u0ZymJdPGSh6nq,https://api.spotify.com/v1/audio-analysis/1cKHdTo9u0ZymJdPGSh6nq,241067.0,4.0
The Weeknd,Is There Someone Else?,1706,0.702,0.586,9.0,-7.83,0.0,0.0313,0.0388,7.27e-05,0.156,0.608,134.951,audio_features,0mL82sxCRjrs3br407IdJh,spotify:track:0mL82sxCRjrs3br407IdJh,https://api.spotify.com/v1/tracks/0mL82sxCRjrs3br407IdJh,https://api.spotify.com/v1/audio-analysis/0mL82sxCRjrs3br407IdJh,199111.0,4.0
The Weeknd,Often,975,0.572,0.631,7.0,-9.836,0.0,0.0476,0.222,0.0,0.135,0.0713,134.078,audio_features,4PhsKqMdgMEUSstTDAmMpg,spotify:track:4PhsKqMdgMEUSstTDAmMpg,https://api.spotify.com/v1/tracks/4PhsKqMdgMEUSstTDAmMpg,https://api.spotify.com/v1/audio-analysis/4PhsKqMdgMEUSstTDAmMpg,249040.0,4.0
The Weeknd,"One Of The Girls (with JENNIE, Lily Rose Depp)",244684,0.264,0.64,8.0,-6.221,1.0,0.0442,0.0393,2.31e-06,0.151,0.19,84.828,audio_features,7CyPwkp0oE8Ro9Dd5CUDjW,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,https://api.spotify.com/v1/tracks/7CyPwkp0oE8Ro9Dd5CUDjW,https://api.spotify.com/v1/audio-analysis/7CyPwkp0oE8Ro9Dd5CUDjW,244685.0,4.0
The Weeknd,One Of The Girls - Sped Up,84636,0.572,0.672,2.0,-5.553,0.0,0.0296,0.0381,2.96e-06,0.514,0.285,99.21,audio_features,4WfGDkm99oLJSAtELYZYEd,spotify:track:4WfGDkm99oLJSAtELYZYEd,https://api.spotify.com/v1/tracks/4WfGDkm99oLJSAtELYZYEd,https://api.spotify.com/v1/audio-analysis/4WfGDkm99oLJSAtELYZYEd,215953.0,4.0
The Weeknd,Popular (with Playboi Carti & Madonna),99497,,,,,,,,,,,,,,,,,,
The Weeknd,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),340885,0.854,0.674,1.0,-6.23,1.0,0.184,0.0517,8.53e-05,0.509,0.848,99.022,audio_features,6WzRpISELf3YglGAh7TXcG,spotify:track:6WzRpISELf3YglGAh7TXcG,https://api.spotify.com/v1/tracks/6WzRpISELf3YglGAh7TXcG,https://api.spotify.com/v1/audio-analysis/6WzRpISELf3YglGAh7TXcG,215467.0,4.0
