artistName,trackName,danceability,loudness,speechiness,acousticness,valence,id,uri,track_href,analysis_url,duration_ms,time_signature,mood
Yo Yo Honey Singh,Dheere Dheere,0.73,0.7571795151779865,0.124,0.0399,0.55,4fyR24BKznXBLNkK8LwWla,spotify:track:4fyR24BKznXBLNkK8LwWla,https://api.spotify.com/v1/tracks/4fyR24BKznXBLNkK8LwWla,https://api.spotify.com/v1/audio-analysis/4fyR24BKznXBLNkK8LwWla,212413.0,4.0,1
Yo Yo Honey Singh,"Dil Chori (From ""Sonu Ke Titu Ki Sweety"")",0.765,0.8491209871150908,0.0824,0.502,0.918,3NKuSd9Qa5fzwhqiuKYFh4,spotify:track:3NKuSd9Qa5fzwhqiuKYFh4,https://api.spotify.com/v1/tracks/3NKuSd9Qa5fzwhqiuKYFh4,https://api.spotify.com/v1/audio-analysis/3NKuSd9Qa5fzwhqiuKYFh4,226696.0,4.0,1
Yo Yo Honey Singh,Dope Shope,0.756,0.920643153526971,0.0556,0.44,0.861,3pVXZ04pu8zYaiAHCrh6PV,spotify:track:3pVXZ04pu8zYaiAHCrh6PV,https://api.spotify.com/v1/tracks/3pVXZ04pu8zYaiAHCrh6PV,https://api.spotify.com/v1/audio-analysis/3pVXZ04pu8zYaiAHCrh6PV,193608.0,4.0,1
Yo Yo Honey Singh,"Kalaastar (From ""Honey 3.0"")",0.812,0.8839266215330859,0.0499,0.0659,0.594,1sZFDDmmBVkcHOpV6AB0Nx,spotify:track:1sZFDDmmBVkcHOpV6AB0Nx,https://api.spotify.com/v1/tracks/1sZFDDmmBVkcHOpV6AB0Nx,https://api.spotify.com/v1/audio-analysis/1sZFDDmmBVkcHOpV6AB0Nx,207789.0,4.0,1
Yo Yo Honey Singh,Love Dose,0.843,0.8505951081022058,0.117,0.256,0.662,1QZRCi2Z1DQQaR6bGAzhtN,spotify:track:1QZRCi2Z1DQQaR6bGAzhtN,https://api.spotify.com/v1/tracks/1QZRCi2Z1DQQaR6bGAzhtN,https://api.spotify.com/v1/audio-analysis/1QZRCi2Z1DQQaR6bGAzhtN,224444.0,4.0,1
Yo Yo Honey Singh,Lungi Dance,0.684,0.8440707578073816,0.264,0.314,0.817,3VXh3jYTW3lTxtXRnu2TKP,spotify:track:3VXh3jYTW3lTxtXRnu2TKP,https://api.spotify.com/v1/tracks/3VXh3jYTW3lTxtXRnu2TKP,https://api.spotify.com/v1/audio-analysis/3VXh3jYTW3lTxtXRnu2TKP,275399.0,4.0,1
Yo Yo Honey Singh,"Party All Night (From ""Boss"")",0.854,0.8278281284123172,0.231,0.203,0.804,1bHBYJjUYYbUnwKYCFxV1F,spotify:track:1bHBYJjUYYbUnwKYCFxV1F,https://api.spotify.com/v1/tracks/1bHBYJjUYYbUnwKYCFxV1F,https://api.spotify.com/v1/audio-analysis/1bHBYJjUYYbUnwKYCFxV1F,282793.0,4.0,1
Yo Yo Honey Singh,"Sunny Sunny (From ""Yaariyan"")",0.794,0.7701190216204412,0.078,0.00138,0.352,1TaeNA6443E9MHtbGXV0s8,spotify:track:1TaeNA6443E9MHtbGXV0s8,https://api.spotify.com/v1/tracks/1TaeNA6443E9MHtbGXV0s8,https://api.spotify.com/v1/audio-analysis/1TaeNA6443E9MHtbGXV0s8,243319.0,4.0,0
Yo Yo Honey Singh,"Yaar Naa Miley (From ""Kick"")",0.663,0.8959106791875957,0.0335,0.0102,0.551,0qzuXwxORXTwSsBU2aJGj5,spotify:track:0qzuXwxORXTwSsBU2aJGj5,https://api.spotify.com/v1/tracks/0qzuXwxORXTwSsBU2aJGj5,https://api.spotify.com/v1/audio-analysis/0qzuXwxORXTwSsBU2aJGj5,243206.0,4.0,0
Yo Yo Honey Singh,"Yaar Naa Miley (From ""Kick"")",0.663,0.8959106791875957,0.0335,0.0102,0.551,0qzuXwxORXTwSsBU2aJGj5,spotify:track:0qzuXwxORXTwSsBU2aJGj5,https://api.spotify.com/v1/tracks/0qzuXwxORXTwSsBU2aJGj5,https://api.spotify.com/v1/audio-analysis/0qzuXwxORXTwSsBU2aJGj5,243206.0,4.0,0
Yohani,"Manike (From ""Thank God"")",0.551,0.7836863944092598,0.0732,0.522,0.509,0zlGnseLGzRIBA0TJcb3Bo,spotify:track:0zlGnseLGzRIBA0TJcb3Bo,https://api.spotify.com/v1/tracks/0zlGnseLGzRIBA0TJcb3Bo,https://api.spotify.com/v1/audio-analysis/0zlGnseLGzRIBA0TJcb3Bo,197474.0,4.0,2
Yot Club,YKWIM?,0.372,0.7668158986678315,0.0305,0.937,0.228,2vWBUC9djv6BtiGlmKiQaH,spotify:track:2vWBUC9djv6BtiGlmKiQaH,https://api.spotify.com/v1/tracks/2vWBUC9djv6BtiGlmKiQaH,https://api.spotify.com/v1/audio-analysis/2vWBUC9djv6BtiGlmKiQaH,212750.0,3.0,2
Young Stunners,Gumaan,0.716,0.8057982092159861,0.304,0.358,0.571,6cdiviyVL3tFYE1eDcmUzL,spotify:track:6cdiviyVL3tFYE1eDcmUzL,https://api.spotify.com/v1/tracks/6cdiviyVL3tFYE1eDcmUzL,https://api.spotify.com/v1/audio-analysis/6cdiviyVL3tFYE1eDcmUzL,260173.0,4.0,1
Young Stunners,Two Tone,0.751,0.8328237606464295,0.259,0.0967,0.711,3HVJmRg8pBQluY6HWsMKmx,spotify:track:3HVJmRg8pBQluY6HWsMKmx,https://api.spotify.com/v1/tracks/3HVJmRg8pBQluY6HWsMKmx,https://api.spotify.com/v1/audio-analysis/3HVJmRg8pBQluY6HWsMKmx,222041.0,4.0,1
Young the Giant,Cough Syrup,0.534,0.7754422362961346,0.0417,0.0343,0.225,1UqhkbzB1kuFwt2iy4h29Q,spotify:track:1UqhkbzB1kuFwt2iy4h29Q,https://api.spotify.com/v1/tracks/1UqhkbzB1kuFwt2iy4h29Q,https://api.spotify.com/v1/audio-analysis/1UqhkbzB1kuFwt2iy4h29Q,249520.0,3.0,0
Young the Giant,Mind Over Matter (Reprise),0.393,0.8016215330858267,0.0337,0.229,0.3,77KnJc8o5G1eKVwX5ywMeZ,spotify:track:77KnJc8o5G1eKVwX5ywMeZ,https://api.spotify.com/v1/tracks/77KnJc8o5G1eKVwX5ywMeZ,https://api.spotify.com/v1/audio-analysis/77KnJc8o5G1eKVwX5ywMeZ,230867.0,4.0,0
YoungBoy Never Broke Again,Right Foot Creep,0.725,0.8446167285433501,0.327,0.346,0.815,6FiySur7YZL0Kff2YVGsEB,spotify:track:6FiySur7YZL0Kff2YVGsEB,https://api.spotify.com/v1/tracks/6FiySur7YZL0Kff2YVGsEB,https://api.spotify.com/v1/audio-analysis/6FiySur7YZL0Kff2YVGsEB,159086.0,4.0,1
Yugo Kanno,il vento d'oro,0.491,0.8429515177986461,0.143,0.00652,0.582,17VP4tofJ3evJbtY8Tk1Qi,spotify:track:17VP4tofJ3evJbtY8Tk1Qi,https://api.spotify.com/v1/tracks/17VP4tofJ3evJbtY8Tk1Qi,https://api.spotify.com/v1/audio-analysis/17VP4tofJ3evJbtY8Tk1Qi,295576.0,4.0,0
ZAYN,I Don’t Wanna Live Forever (Fifty Shades Darker),0.73,0.7451135619130815,0.0538,0.059,0.106,55n9yjI6qqXh5F2mYvUc2y,spotify:track:55n9yjI6qqXh5F2mYvUc2y,https://api.spotify.com/v1/tracks/55n9yjI6qqXh5F2mYvUc2y,https://api.spotify.com/v1/audio-analysis/55n9yjI6qqXh5F2mYvUc2y,247160.0,4.0,0
ZAYN,PILLOWTALK,0.584,0.8582113998689671,0.0456,0.117,0.438,0PDUDa38GO8lMxLCRc4lL1,spotify:track:0PDUDa38GO8lMxLCRc4lL1,https://api.spotify.com/v1/tracks/0PDUDa38GO8lMxLCRc4lL1,https://api.spotify.com/v1/audio-analysis/0PDUDa38GO8lMxLCRc4lL1,202747.0,4.0,0
Zach Bryan,I Remember Everything (feat. Kacey Musgraves),0.429,0.7634581786416249,0.0459,0.554,0.155,4KULAymBBJcPRpk1yO4dOG,spotify:track:4KULAymBBJcPRpk1yO4dOG,https://api.spotify.com/v1/tracks/4KULAymBBJcPRpk1yO4dOG,https://api.spotify.com/v1/audio-analysis/4KULAymBBJcPRpk1yO4dOG,227196.0,4.0,2
Zack Knight,Bom Diggy Diggy,0.782,0.8597401179296791,0.0627,0.159,0.498,6qCNaRRr5xJALfNJvh0NAw,spotify:track:6qCNaRRr5xJALfNJvh0NAw,https://api.spotify.com/v1/tracks/6qCNaRRr5xJALfNJvh0NAw,https://api.spotify.com/v1/audio-analysis/6qCNaRRr5xJALfNJvh0NAw,238530.0,4.0,1
Zaeden,KTMBK,0.898,0.7337573706049356,0.0489,0.555,0.836,4R8VBRb5nKbEfi1EIA2B7p,spotify:track:4R8VBRb5nKbEfi1EIA2B7p,https://api.spotify.com/v1/tracks/4R8VBRb5nKbEfi1EIA2B7p,https://api.spotify.com/v1/audio-analysis/4R8VBRb5nKbEfi1EIA2B7p,154435.0,4.0,1
